Bairro,Numero_de_Escolas
CENTRO,24
CIDADE NAUTICA,20
VILA MARGARIDA,19
CATIAPOA,13
JARDIM RIO BRANCO,13
SAMARITA,13
PARQUE SAO VICENTE,13
CONJUNTO RESIDENCIAL HUMAITA,10
PARQUE DAS BANDEIRAS,10
ESPLANADA DOS BARREIROS,8
JARDIM IRMA DOLORES,8
VILA JOQUEI CLUBE,8
VILA NOSSA SENHORA DE FATIMA,8
PARQUE BITARU,7
VILA CASCATINHA,7
VILA SAO JORGE,6
JAPUI,5
PARQUE CONTINENTAL,5
VILA MATEO BEI,5
VILA VALENCA,5
ITARARE,4
JARDIM INDEPENDENCIA,3
VILA EMA,3
VILA NOVA SAO VICENTE,3
VILA VOTURUA,3
CONJUNTO RESIDENCIAL TANCREDO NEVES,2
JARDIM GUASSU,2
JARDIM NOSSO LAR,2
JARDIM PARAISO,2
JARDIM QUARENTENARIO,2
JARDIM RIO NEGRO,2
VILA MATIAS,2
ALDEIA PARANAPUA,1
JARDIM POMPEBA,1
MORRO DOS BARBOSAS,1
VILA MELO,1
